Code,System,Type 1 Departments,Type 2 Departments,Type 3 Departments,Total Attendances,Attendances < 4 hours (Type 1),Attendances < 4 hours (Type 2),Attendances < 4 hours (Type 3),Total Attendances < 4 hours,Attendances > 4 hours (Type 1),Attendances > 4 hours (Type 2),Attendances > 4 hours (Type 3),Total Attendances > 4 hours,Percentage in 4 hours (all),Percentage in 4 hours (Type 1),Percentage in 4 hours (Type 2),Percentage in 4 hours (Type 3),Emergency Admissions Type 1,Emergency Admissions Type 2,Emergency Admissions Type 3 and 4,Total Emergency Admissions via A&E,Other Emergency Admissions (not via A&E),Total Emergency Admissions,Patients spending >4 hours from decision to admit,Patients spending >12 hours from decision to admit,Month,Percentage_Under_4_Hours,Holiday_Event_Month
QJG,NHS Suffolk And North East Essex Integrated Care Board,22398.0,0.0,12765.0,35163.0,12680.0,0.0,12493.0,25173.0,9718.0,0.0,272.0,9990.0,0.7158945482467366,0.566121975176355,-,0.9786917352134743,7878.0,0.0,411.0,8289.0,1359.0,9648.0,2392.0,797.0,9,71.58945482467367,0
QXU,NHS Surrey Heartlands Integrated Care Board,26969.0,0.0,6122.0,33091.0,18352.0,0.0,6046.0,24398.0,8617.0,0.0,76.0,8693.0,0.7373001722522741,0.6804850012977863,-,0.9875857562887945,8111.0,0.0,0.0,8111.0,2453.0,10564.0,2115.0,927.0,9,73.73001722522741,0
QNX,NHS Sussex Integrated Care Board,32445.0,1462.0,27897.0,61804.0,19700.0,1427.0,27196.0,48323.0,12745.0,35.0,701.0,13481.0,0.7818749595495437,0.607181383880413,0.9760601915184679,0.9748718500197154,11630.0,21.0,41.0,11692.0,2349.0,14041.0,3158.0,1264.0,9,78.18749595495437,0
QUA,NHS Black Country Integrated Care Board,45839.0,1186.0,25986.0,73011.0,29556.0,1015.0,25700.0,56271.0,16283.0,171.0,286.0,16740.0,0.770719480626207,0.6447784637535723,0.8558178752107926,0.9889940737320095,15552.0,0.0,0.0,15552.0,4196.0,19748.0,6088.0,922.0,9,77.07194806262069,0
QWO,NHS West Yorkshire Integrated Care Board,63150.0,2305.0,21886.0,87341.0,40809.0,2305.0,21269.0,64383.0,22341.0,0.0,617.0,22958.0,0.7371452124431824,0.6462232779097388,1,0.9718084620305218,14017.0,0.0,196.0,14213.0,4283.0,18496.0,6379.0,426.0,9,73.71452124431825,0
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",18067.0,334.0,10968.0,29369.0,11066.0,334.0,10792.0,22192.0,7001.0,0.0,176.0,7177.0,0.7556266811944568,0.6124979243925389,1,0.9839533187454412,6176.0,0.0,7.0,6183.0,3581.0,9764.0,1558.0,17.0,8,75.56266811944568,1
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",23653.0,0.0,14598.0,38251.0,14916.0,0.0,14548.0,29464.0,8737.0,0.0,50.0,8787.0,0.7702805155420773,0.6306176806324779,-,0.996574873270311,6489.0,0.0,0.0,6489.0,2641.0,9130.0,469.0,3.0,8,77.02805155420774,1
QHL,NHS Birmingham And Solihull Integrated Care Board,35251.0,363.0,15769.0,51383.0,23067.0,363.0,15734.0,39164.0,12184.0,0.0,35.0,12219.0,0.7621976139968472,0.6543644151938952,1,0.9977804553237365,12502.0,0.0,0.0,12502.0,5342.0,17844.0,4350.0,1600.0,8,76.21976139968471,1
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",22998.0,2323.0,8542.0,33863.0,15313.0,2226.0,8203.0,25742.0,7685.0,97.0,339.0,8121.0,0.76018072822845,0.6658405078702496,0.9582436504520018,0.9603137438538983,7657.0,10.0,0.0,7667.0,3210.0,10877.0,1623.0,165.0,8,76.018072822845,1
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",33415.0,5202.0,12377.0,50994.0,23108.0,5189.0,11935.0,40232.0,10307.0,13.0,442.0,10762.0,0.7889555633996156,0.6915457130031423,0.9975009611687813,0.9642885998222509,10683.0,892.0,60.0,11635.0,6525.0,18160.0,1450.0,114.0,8,78.89555633996156,1
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,24197.0,0.0,10767.0,34964.0,14887.0,0.0,10597.0,25484.0,9310.0,0.0,170.0,9480.0,0.7288639743736415,0.6152415588709345,-,0.9842110151388502,6257.0,0.0,88.0,6345.0,1703.0,8048.0,2003.0,804.0,8,72.88639743736415,1
QYG,NHS Cheshire And Merseyside Integrated Care Board,65058.0,3200.0,45392.0,113650.0,36713.0,2977.0,44749.0,84439.0,28345.0,223.0,643.0,29211.0,0.7429740431148262,0.5643118448153955,0.9303125,0.9858345082833979,21223.0,100.0,0.0,21323.0,7740.0,29063.0,8307.0,3382.0,8,74.29740431148262,1
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,6978.0,0.0,13933.0,20911.0,2872.0,0.0,12827.0,15699.0,4106.0,0.0,1106.0,5212.0,0.7507531920998518,0.411579249068501,-,0.92062011052896,2357.0,0.0,102.0,2459.0,1430.0,3889.0,1066.0,375.0,8,75.07531920998518,1
QWU,NHS Coventry And Warwickshire Integrated Care Board,24771.0,816.0,7862.0,33449.0,15083.0,648.0,7700.0,23431.0,9688.0,168.0,162.0,10018.0,0.7004992675416305,0.6088975011101692,0.7941176470588235,0.9793945560925973,4947.0,30.0,158.0,5135.0,1527.0,6662.0,925.0,85.0,8,70.04992675416305,1
QHM,NHS North East And North Cumbria Integrated Care Board,68906.0,2866.0,62157.0,133929.0,42757.0,2772.0,61563.0,107092.0,26149.0,94.0,594.0,26837.0,0.7996177078900014,0.6205120018576031,0.9672016748080949,0.99044355422559,23482.0,37.0,672.0,24191.0,9637.0,33828.0,4708.0,405.0,8,79.96177078900014,1
QJK,NHS Devon Integrated Care Board,29788.0,144.0,15312.0,45244.0,16878.0,144.0,15052.0,32074.0,12910.0,0.0,260.0,13170.0,0.7089116788966493,0.5666040016113871,1,0.9830198537095088,9034.0,0.0,0.0,9034.0,4438.0,13472.0,2279.0,348.0,8,70.89116788966493,1
QVV,NHS Dorset Integrated Care Board,18177.0,0.0,9601.0,27778.0,11801.0,0.0,9587.0,21388.0,6376.0,0.0,14.0,6390.0,0.7699618403052776,0.6492270451669693,-,0.9985418185605666,6102.0,6.0,0.0,6108.0,2740.0,8848.0,785.0,76.0,8,76.99618403052776,1
QMF,NHS North East London Integrated Care Board,45097.0,3103.0,31943.0,80143.0,27920.0,2822.0,30837.0,61579.0,17177.0,281.0,1106.0,18564.0,0.7683640492619442,0.6191099186198639,0.9094424750241702,0.9653758256895094,13816.0,0.0,0.0,13816.0,1867.0,15683.0,3615.0,1569.0,8,76.83640492619442,1
QNQ,NHS Frimley Integrated Care Board,21240.0,1000.0,10368.0,32608.0,12857.0,1000.0,10327.0,24184.0,8383.0,0.0,41.0,8424.0,0.7416584887144259,0.6053201506591337,1,0.996045524691358,5446.0,0.0,0.0,5446.0,262.0,5708.0,2267.0,95.0,8,74.16584887144259,1
QR1,NHS Gloucestershire Integrated Care Board,12595.0,0.0,7996.0,20591.0,7922.0,0.0,7967.0,15889.0,4673.0,0.0,29.0,4702.0,0.771647807294449,0.6289797538705836,-,0.9963731865932967,2569.0,0.0,0.0,2569.0,1989.0,4558.0,980.0,394.0,8,77.1647807294449,1
QOP,NHS Greater Manchester Integrated Care Board,77975.0,3385.0,31643.0,113003.0,45683.0,3326.0,30656.0,79665.0,32292.0,59.0,987.0,33338.0,0.704981283682734,0.5858672651490863,0.9825701624815362,0.9688082672312992,21007.0,166.0,668.0,21841.0,5328.0,27169.0,11480.0,1488.0,8,70.4981283682734,1
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,38481.0,2431.0,22653.0,63565.0,22513.0,2311.0,22415.0,47239.0,15968.0,120.0,238.0,16326.0,0.743160544324707,0.5850419687638055,0.9506375976964212,0.9894936652981945,12439.0,18.0,38.0,12495.0,5531.0,18026.0,2277.0,79.0,8,74.31605443247071,1
QE1,NHS Lancashire And South Cumbria Integrated Care Board,41813.0,0.0,30229.0,72042.0,26821.0,0.0,29600.0,56421.0,14992.0,0.0,629.0,15621.0,0.783168151911385,0.6414512233037573,-,0.9791921664626683,12721.0,0.0,196.0,12917.0,4601.0,17518.0,4711.0,1834.0,8,78.3168151911385,1
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,18571.0,1104.0,6226.0,25901.0,10212.0,1104.0,6222.0,17538.0,8359.0,0.0,4.0,8363.0,0.6771167136403999,0.5498896128372193,1,0.9993575329264375,5128.0,0.0,0.0,5128.0,1548.0,6676.0,1758.0,576.0,8,67.71167136404,1
QM7,NHS Hertfordshire And West Essex Integrated Care Board,23968.0,0.0,19919.0,43887.0,13982.0,0.0,19644.0,33626.0,9986.0,0.0,275.0,10261.0,0.7661950007975027,0.5833611481975968,-,0.9861940860484965,9383.0,0.0,99.0,9482.0,1225.0,10707.0,1252.0,120.0,8,76.61950007975027,1
QOQ,NHS Humber And North Yorkshire Integrated Care Board,33201.0,359.0,29342.0,62902.0,17282.0,359.0,28496.0,46137.0,15919.0,0.0,846.0,16765.0,0.7334742933452036,0.5205264901659589,1,0.9711676095698998,14054.0,0.0,0.0,14054.0,3891.0,17945.0,4114.0,1265.0,8,73.34742933452037,1
QJ2,NHS Derby And Derbyshire Integrated Care Board,26730.0,0.0,19940.0,46670.0,15398.0,0.0,19768.0,35166.0,11332.0,0.0,172.0,11504.0,0.7535033211913434,0.5760568649457538,-,0.9913741223671013,6706.0,0.0,276.0,6982.0,3044.0,10026.0,2280.0,696.0,8,75.35033211913435,1
QKS,NHS Kent And Medway Integrated Care Board,47748.0,0.0,45948.0,93696.0,34014.0,0.0,45235.0,79249.0,13734.0,0.0,713.0,14447.0,0.8458098531420765,0.712364915807992,-,0.9844824584312701,12497.0,0.0,637.0,13134.0,2387.0,15521.0,3871.0,1667.0,8,84.58098531420765,1
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",20272.0,1837.0,12793.0,34902.0,12045.0,1835.0,12779.0,26659.0,8227.0,2.0,14.0,8243.0,0.763824422669188,0.5941692975532754,0.9989112683723462,0.9989056515281795,5941.0,2.0,0.0,5943.0,3262.0,9205.0,2198.0,662.0,8,76.3824422669188,1
QJM,NHS Lincolnshire Integrated Care Board,9359.0,0.0,18894.0,28253.0,3263.0,0.0,17550.0,20813.0,6096.0,0.0,1344.0,7440.0,0.73666513290624,0.3486483598675072,-,0.9288663067640521,4105.0,0.0,0.0,4105.0,1102.0,5207.0,1878.0,732.0,8,73.666513290624,1
QH8,NHS Mid And South Essex Integrated Care Board,28010.0,0.0,5633.0,33643.0,19371.0,0.0,5523.0,24894.0,8639.0,0.0,110.0,8749.0,0.7399459025651696,0.6915744377008212,-,0.980472217290964,8820.0,0.0,217.0,9037.0,1156.0,10193.0,2830.0,12.0,8,73.99459025651696,1
QMM,NHS Norfolk And Waveney Integrated Care Board,26396.0,0.0,11523.0,37919.0,17204.0,0.0,11522.0,28726.0,9192.0,0.0,1.0,9193.0,0.7575621719982067,0.6517654190028792,-,0.9999132170441726,6353.0,0.0,0.0,6353.0,2132.0,8485.0,1824.0,401.0,8,75.75621719982067,1
QMJ,NHS North Central London Integrated Care Board,45303.0,6128.0,13396.0,64827.0,30638.0,6021.0,12896.0,49555.0,14665.0,107.0,500.0,15272.0,0.7644191463433446,0.6762907533717414,0.9825391644908616,0.9626754255001493,7613.0,1.0,148.0,7762.0,1203.0,8965.0,3267.0,1422.0,8,76.44191463433447,1
QRV,NHS North West London Integrated Care Board,46919.0,3847.0,44237.0,95003.0,29682.0,3802.0,43686.0,77170.0,17237.0,45.0,551.0,17833.0,0.8122901382061619,0.6326221786483088,0.9883025734338445,0.9875443633157764,15416.0,1.0,0.0,15417.0,2053.0,17470.0,2406.0,532.0,8,81.22901382061619,1
QPM,NHS Northamptonshire Integrated Care Board,20007.0,584.0,10247.0,30838.0,13263.0,571.0,10180.0,24014.0,6744.0,13.0,67.0,6824.0,0.7787145729295025,0.6629179787074524,0.9777397260273972,0.9934615009271006,3899.0,0.0,0.0,3899.0,1366.0,5265.0,2608.0,721.0,8,77.87145729295025,1
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,25040.0,1762.0,10559.0,37361.0,15670.0,1688.0,10378.0,27736.0,9370.0,74.0,181.0,9625.0,0.7423784159952892,0.6257987220447284,0.9580022701475596,0.9828582252107207,7763.0,0.0,0.0,7763.0,4002.0,11765.0,1178.0,257.0,8,74.23784159952892,1
QKK,NHS South East London Integrated Care Board,37363.0,755.0,36720.0,74838.0,21510.0,726.0,35150.0,57386.0,15853.0,29.0,1570.0,17452.0,0.7668029610625618,0.5757032358215347,0.9615894039735099,0.9572440087145969,8901.0,0.0,0.0,8901.0,2084.0,10985.0,3198.0,787.0,8,76.68029610625618,1
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",10059.0,0.0,5605.0,15664.0,4745.0,0.0,5426.0,10171.0,5314.0,0.0,179.0,5493.0,0.6493232890704801,0.47171687046426086,-,0.968064228367529,3126.0,0.0,155.0,3281.0,1847.0,5128.0,1136.0,546.0,8,64.932328907048,1
QSL,NHS Somerset Integrated Care Board,12836.0,0.0,9361.0,22197.0,8022.0,0.0,9220.0,17242.0,4814.0,0.0,141.0,4955.0,0.7767716358066405,0.6249610470551573,-,0.9849375066766372,3088.0,0.0,0.0,3088.0,2011.0,5099.0,360.0,38.0,8,77.67716358066406,1
QWE,NHS South West London Integrated Care Board,37183.0,301.0,17016.0,54500.0,25649.0,301.0,16752.0,42702.0,11534.0,0.0,264.0,11798.0,0.7835229357798165,0.6898044805421832,1,0.9844851904090268,7609.0,2.0,152.0,7763.0,1479.0,9242.0,3510.0,1969.0,8,78.35229357798164,1
QF7,NHS South Yorkshire Integrated Care Board,42588.0,1133.0,11220.0,54941.0,28926.0,1133.0,11124.0,41183.0,13662.0,0.0,96.0,13758.0,0.7495859194408547,0.6792054099746407,1,0.9914438502673797,13251.0,0.0,416.0,13667.0,4792.0,18459.0,2738.0,95.0,8,74.95859194408547,1
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,13532.0,433.0,8113.0,22078.0,7638.0,433.0,8045.0,16116.0,5894.0,0.0,68.0,5962.0,0.7299574236796811,0.5644398462902749,1,0.9916183902378898,4994.0,0.0,0.0,4994.0,3714.0,8708.0,1380.0,247.0,8,72.9957423679681,1
QJG,NHS Suffolk And North East Essex Integrated Care Board,22783.0,0.0,12571.0,35354.0,14291.0,0.0,12481.0,26772.0,8492.0,0.0,90.0,8582.0,0.7572551903603553,0.6272659439055436,-,0.9928406650226712,8265.0,0.0,333.0,8598.0,1446.0,10044.0,1776.0,380.0,8,75.72551903603552,1
QXU,NHS Surrey Heartlands Integrated Care Board,25674.0,0.0,6240.0,31914.0,19561.0,0.0,6184.0,25745.0,6113.0,0.0,56.0,6169.0,0.8066992542457856,0.7618991976318454,-,0.9910256410256411,8276.0,0.0,0.0,8276.0,2345.0,10621.0,1417.0,445.0,8,80.66992542457857,1
QNX,NHS Sussex Integrated Care Board,32987.0,1537.0,28296.0,62820.0,20675.0,1511.0,27545.0,49731.0,12312.0,26.0,751.0,13089.0,0.7916427889207259,0.6267620577803377,0.9830839297332465,0.9734591461690698,11134.0,35.0,46.0,11215.0,2552.0,13767.0,2912.0,1112.0,8,79.16427889207259,1
QUA,NHS Black Country Integrated Care Board,43754.0,1292.0,25563.0,70609.0,29595.0,1083.0,25447.0,56125.0,14159.0,209.0,116.0,14484.0,0.7948703423076379,0.6763953010010514,0.8382352941176471,0.9954621914485781,15370.0,0.0,0.0,15370.0,4076.0,19446.0,5595.0,627.0,8,79.48703423076378,1
QWO,NHS West Yorkshire Integrated Care Board,61414.0,2148.0,20775.0,84337.0,40845.0,2148.0,20580.0,63573.0,20569.0,0.0,195.0,20764.0,0.7537972657315295,0.6650763669521608,1,0.9906137184115523,13955.0,0.0,193.0,14148.0,4309.0,18457.0,6150.0,352.0,8,75.37972657315295,1
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",18206.0,319.0,10655.0,29180.0,10138.0,319.0,10300.0,20757.0,8068.0,0.0,355.0,8423.0,0.7113433858807402,0.5568493903108865,1,0.9666823087752229,6255.0,0.0,6.0,6261.0,4028.0,10289.0,1890.0,129.0,1,71.13433858807402,1
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",24175.0,0.0,17200.0,41375.0,14170.0,0.0,17011.0,31181.0,10005.0,0.0,189.0,10194.0,0.753619335347432,0.5861427094105481,-,0.9890116279069767,7052.0,0.0,0.0,7052.0,2829.0,9881.0,1038.0,15.0,1,75.3619335347432,1
QHL,NHS Birmingham And Solihull Integrated Care Board,38560.0,0.0,17347.0,55907.0,20939.0,0.0,17335.0,38274.0,17621.0,0.0,12.0,17633.0,0.6846012127282809,0.5430238589211618,-,0.9993082377356315,11391.0,0.0,0.0,11391.0,7956.0,19347.0,4869.0,2461.0,1,68.46012127282809,1
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",24588.0,2243.0,7839.0,34670.0,15058.0,2166.0,7477.0,24701.0,9530.0,77.0,362.0,9969.0,0.7124603403518892,0.6124125589718562,0.9656709763709318,0.9538206403878046,8364.0,7.0,0.0,8371.0,3728.0,12099.0,2791.0,645.0,1,71.24603403518893,1
QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",35656.0,5188.0,8819.0,49663.0,21213.0,5174.0,8287.0,34674.0,14443.0,14.0,532.0,14989.0,0.6981857721039808,0.5949349338119811,0.9973014649190439,0.9396757001927656,11140.0,983.0,61.0,12184.0,6490.0,18674.0,2689.0,538.0,1,69.81857721039808,1
QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,23830.0,0.0,10566.0,34396.0,11116.0,0.0,9802.0,20918.0,12714.0,0.0,764.0,13478.0,0.6081521107105478,0.4664708350818296,-,0.927692598902139,6159.0,0.0,149.0,6308.0,2190.0,8498.0,2811.0,1516.0,1,60.815211071054776,1
QYG,NHS Cheshire And Merseyside Integrated Care Board,75839.0,1762.0,47443.0,125044.0,41372.0,1563.0,43224.0,86159.0,34467.0,199.0,4219.0,38885.0,0.6890294616295064,0.5455240707287807,0.8870601589103292,0.9110722340492802,22619.0,99.0,0.0,22718.0,8581.0,31299.0,10477.0,5555.0,1,68.90294616295064,1
QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,6010.0,0.0,10528.0,16538.0,2486.0,0.0,9974.0,12460.0,3524.0,0.0,554.0,4078.0,0.7534163744104486,0.4136439267886855,-,0.9473784194528876,2203.0,0.0,46.0,2249.0,1132.0,3381.0,1249.0,804.0,1,75.34163744104487,1
QWU,NHS Coventry And Warwickshire Integrated Care Board,26126.0,1825.0,9674.0,37625.0,15458.0,1694.0,9314.0,26466.0,10668.0,131.0,360.0,11159.0,0.7034152823920266,0.5916711322054659,0.9282191780821918,0.9627868513541451,6356.0,69.0,100.0,6525.0,2564.0,9089.0,1789.0,389.0,1,70.34152823920266,1
QHM,NHS North East And North Cumbria Integrated Care Board,77816.0,2777.0,59647.0,140240.0,42469.0,2680.0,58807.0,103956.0,35347.0,97.0,840.0,36284.0,0.7412721049629207,0.5457617970597306,0.9650702196615052,0.9859171458748973,26130.0,22.0,778.0,26930.0,13156.0,40086.0,7696.0,987.0,1,74.12721049629208,1
QJK,NHS Devon Integrated Care Board,27377.0,117.0,12033.0,39527.0,13033.0,117.0,11521.0,24671.0,14344.0,0.0,512.0,14856.0,0.6241556404483012,0.4760565438141506,1,0.9574503448848999,8506.0,0.0,0.0,8506.0,4745.0,13251.0,3046.0,1020.0,1,62.41556404483012,1
QVV,NHS Dorset Integrated Care Board,18189.0,0.0,7008.0,25197.0,10273.0,0.0,6997.0,17270.0,7916.0,0.0,11.0,7927.0,0.6853990554431083,0.5647919071966573,-,0.9984303652968036,5984.0,1.0,3.0,5988.0,2984.0,8972.0,2029.0,510.0,1,68.53990554431083,1
QMF,NHS North East London Integrated Care Board,47778.0,3346.0,37599.0,88723.0,28560.0,2840.0,33830.0,65230.0,19218.0,506.0,3769.0,23493.0,0.7352095848877969,0.5977646615597136,0.8487746563060371,0.899757972286497,14515.0,0.0,0.0,14515.0,1945.0,16460.0,3190.0,1287.0,1,73.52095848877968,1
QNQ,NHS Frimley Integrated Care Board,22368.0,0.0,6901.0,29269.0,12192.0,0.0,6836.0,19028.0,10176.0,0.0,65.0,10241.0,0.6501076223991253,0.5450643776824035,-,0.9905810752064919,6518.0,0.0,0.0,6518.0,271.0,6789.0,2970.0,312.0,1,65.01076223991254,1
QR1,NHS Gloucestershire Integrated Care Board,12220.0,0.0,6453.0,18673.0,6880.0,0.0,6442.0,13322.0,5340.0,0.0,11.0,5351.0,0.7134365126117924,0.563011456628478,-,0.9982953664962033,2788.0,0.0,0.0,2788.0,1821.0,4609.0,1365.0,974.0,1,71.34365126117925,1
QOP,NHS Greater Manchester Integrated Care Board,86095.0,3662.0,32197.0,121954.0,41683.0,3544.0,29736.0,74963.0,44412.0,118.0,2461.0,46991.0,0.6146825852370565,0.48415122829432605,0.9677771709448388,0.9235643072335932,21984.0,166.0,744.0,22894.0,5814.0,28708.0,12135.0,3820.0,1,61.46825852370566,1
QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,38232.0,2000.0,22310.0,62542.0,21264.0,1855.0,21541.0,44660.0,16968.0,145.0,769.0,17882.0,0.7140801381471651,0.5561833019460138,0.9275,0.9655311519497983,12159.0,12.0,0.0,12171.0,5524.0,17695.0,4188.0,458.0,1,71.40801381471651,1
QE1,NHS Lancashire And South Cumbria Integrated Care Board,41197.0,0.0,31131.0,72328.0,24281.0,0.0,29668.0,53949.0,16916.0,0.0,1463.0,18379.0,0.7458937064484017,0.5893875767652984,-,0.9530050432045228,12070.0,0.0,306.0,12376.0,5734.0,18110.0,5065.0,2624.0,1,74.58937064484017,1
QGH,NHS Herefordshire And Worcestershire Integrated Care Board,18127.0,0.0,5173.0,23300.0,8485.0,0.0,5160.0,13645.0,9642.0,0.0,13.0,9655.0,0.5856223175965666,0.46808628013460585,-,0.9974869514788324,5579.0,0.0,0.0,5579.0,2242.0,7821.0,2122.0,615.0,1,58.562231759656655,1
QM7,NHS Hertfordshire And West Essex Integrated Care Board,25547.0,0.0,21143.0,46690.0,10959.0,0.0,20683.0,31642.0,14588.0,0.0,460.0,15048.0,0.677704005140287,0.4289740478334051,-,0.9782433902473632,8708.0,0.0,36.0,8744.0,1238.0,9982.0,2941.0,348.0,1,67.7704005140287,1
QOQ,NHS Humber And North Yorkshire Integrated Care Board,42242.0,355.0,22007.0,64604.0,22131.0,355.0,20927.0,43413.0,20111.0,0.0,1080.0,21191.0,0.6719862547210699,0.523909852753184,1,0.9509247057754351,14323.0,0.0,0.0,14323.0,4494.0,18817.0,5784.0,2717.0,1,67.19862547210698,1
QJ2,NHS Derby And Derbyshire Integrated Care Board,27899.0,0.0,21528.0,49427.0,15524.0,0.0,21150.0,36674.0,12375.0,0.0,378.0,12753.0,0.7419831266311935,0.5564357145417399,-,0.9824414715719063,6835.0,0.0,319.0,7154.0,3078.0,10232.0,2981.0,1007.0,1,74.19831266311935,1
QKS,NHS Kent And Medway Integrated Care Board,53194.0,0.0,40615.0,93809.0,34095.0,0.0,38760.0,72855.0,19099.0,0.0,1855.0,20954.0,0.7766312400729141,0.6409557468887469,-,0.9543272190077557,14340.0,0.0,488.0,14828.0,3535.0,18363.0,5576.0,2411.0,1,77.6631240072914,1
QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",20840.0,1771.0,14336.0,36947.0,11141.0,1691.0,14326.0,27158.0,9699.0,80.0,10.0,9789.0,0.7350529136330419,0.5345969289827255,0.9548277809147374,0.9993024553571429,5709.0,1.0,0.0,5710.0,3650.0,9360.0,2944.0,1625.0,1,73.5052913633042,1
QJM,NHS Lincolnshire Integrated Care Board,9784.0,0.0,18382.0,28166.0,3167.0,0.0,16566.0,19733.0,6617.0,0.0,1816.0,8433.0,0.7005964638216289,0.32369174161896974,-,0.9012077031879012,4349.0,0.0,0.0,4349.0,1239.0,5588.0,2110.0,1342.0,1,70.05964638216288,1
QH8,NHS Mid And South Essex Integrated Care Board,31880.0,0.0,1858.0,33738.0,21004.0,0.0,1713.0,22717.0,10876.0,0.0,145.0,11021.0,0.6733357045468018,0.6588456712672522,-,0.9219590958019376,8879.0,0.0,185.0,9064.0,1210.0,10274.0,3385.0,66.0,1,67.33357045468018,1
QMM,NHS Norfolk And Waveney Integrated Care Board,24418.0,0.0,11523.0,35941.0,13639.0,0.0,11509.0,25148.0,10779.0,0.0,14.0,10793.0,0.6997022898639437,0.5585633549021214,-,0.9987850386184154,6655.0,0.0,0.0,6655.0,2820.0,9475.0,2560.0,741.0,1,69.97022898639436,1
QMJ,NHS North Central London Integrated Care Board,47664.0,5853.0,16305.0,69822.0,27259.0,5833.0,14285.0,47377.0,20405.0,20.0,2020.0,22445.0,0.6785397152759876,0.5718991272239007,0.9965829489150863,0.8761116222017786,8076.0,4.0,0.0,8080.0,1294.0,9374.0,4469.0,2514.0,1,67.85397152759876,1
QRV,NHS North West London Integrated Care Board,50997.0,3733.0,45283.0,100013.0,30381.0,3695.0,44072.0,78148.0,20616.0,38.0,1211.0,21865.0,0.7813784208052953,0.5957409259368198,0.989820519689258,0.9732570721904468,15149.0,1.0,0.0,15150.0,2200.0,17350.0,4160.0,905.0,1,78.13784208052952,1
QPM,NHS Northamptonshire Integrated Care Board,18556.0,574.0,11252.0,30382.0,9822.0,559.0,11007.0,21388.0,8734.0,15.0,245.0,8994.0,0.7039694555987097,0.5293166630739383,0.9738675958188153,0.9782260931389976,3915.0,0.0,0.0,3915.0,1575.0,5490.0,2659.0,1087.0,1,70.39694555987097,1
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,25932.0,1769.0,11371.0,39072.0,12366.0,1609.0,9769.0,23744.0,13566.0,160.0,1602.0,15328.0,0.6076986076986077,0.47686256362795004,0.9095534200113058,0.8591152932899481,7416.0,0.0,1.0,7417.0,4342.0,11759.0,2661.0,1146.0,1,60.76986076986077,1
QKK,NHS South East London Integrated Care Board,39789.0,776.0,41147.0,81712.0,19251.0,776.0,37842.0,57869.0,20538.0,0.0,3305.0,23843.0,0.7082068729195222,0.48382718841890976,1,0.9196782268452135,9159.0,0.0,0.0,9159.0,2067.0,11226.0,5095.0,2018.0,1,70.82068729195223,1
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",10129.0,0.0,5378.0,15507.0,4128.0,0.0,5092.0,9220.0,6001.0,0.0,286.0,6287.0,0.5945701941058876,0.4075426991805706,-,0.9468203793231684,2719.0,0.0,52.0,2771.0,2560.0,5331.0,1350.0,957.0,1,59.457019410588764,1
QSL,NHS Somerset Integrated Care Board,12542.0,0.0,8731.0,21273.0,7036.0,0.0,8384.0,15420.0,5506.0,0.0,347.0,5853.0,0.7248625017627979,0.5609950566097911,-,0.9602565570954071,3155.0,0.0,0.0,3155.0,2104.0,5259.0,963.0,124.0,1,72.48625017627978,1
QWE,NHS South West London Integrated Care Board,42750.0,277.0,16411.0,59438.0,27097.0,276.0,16064.0,43437.0,15653.0,1.0,347.0,16001.0,0.7307951142366836,0.6338479532163742,0.9963898916967509,0.9788556456035586,8054.0,2.0,150.0,8206.0,1612.0,9818.0,4215.0,2775.0,1,73.07951142366836,1
QF7,NHS South Yorkshire Integrated Care Board,44421.0,1123.0,12280.0,57824.0,25148.0,1123.0,11900.0,38171.0,19273.0,0.0,380.0,19653.0,0.6601238240177089,0.5661286328538304,1,0.9690553745928339,13967.0,0.0,451.0,14418.0,5069.0,19487.0,4601.0,432.0,1,66.01238240177089,1
